Name;Sex;Equipment;Age;AgeClass;Division;Bodyweight;Weight_Class;Squat1;Squat2;Squat3;Best_Squat;Bench1;Bench2;Bench3;Best_Bench;Deadlift1;Deadlift2;Deadlift3;Best_Deadlift;Total_Kg;Place;Dots;Country
S³awomir Golonka;M;Raw;27;24-34;Open;87.6;90;0;0;0;0;0;0;0;0;230;250;-260;250;250;2;163.91;Poland
Marcin Bala ;M;Raw;25;24-34;Open;82;82.5;0;0;0;0;180;187.5;190;190;0;0;0;0;190;1;129.15;Poland
Krzysztof Pila;M;Raw;28.maj;24-34;MPF;74.4;75;0;0;0;0;-120;120;130;130;0;0;0;0;130;1;93.75;Poland
Krzysztof Pila;M;Raw;28.maj;24-34;Open;74.4;75;0;0;0;0;-120;120;130;130;0;0;0;0;130;1;93.75;Poland
Mateusz Trziszki;M;Raw;25;24-34;Open;65.4;67.5;0;0;0;0;110;117.5;-122.5;117.5;0;0;0;0;117.5;2;92.69;Poland
Mateusz Trziszki;M;Raw;25;24-34;MPF;65.4;67.5;0;0;0;0;110;117.5;-122.5;117.5;0;0;0;0;117.5;1;92.69;Poland
Pawe³ Jab³oñski;M;Wraps;16;16-17;Teen 16-17;66.1;67.5;160;167.5;-172.5;167.5;77.5;85;-90;85;155;162.5;-167.5;162.5;415;1;324.80;Poland
Remigiusz Zolistki;M;Multi-ply;17;16-17;Teen 16-17;101.8;110;0;0;0;0;162.5;170;180;180;0;0;0;0;180;1;109.95;Poland
Remigiusz Zolistki;M;Single-ply;17;16-17;Teen 16-17;101.8;110;0;0;0;0;0;0;0;0;-192.5;-192.5;-192.5;0;0;DQ;;Poland
Mateusz Dziura;M;Wraps;40;40-44;Open;98.2;100;-200;220;-240;220;125;135;-140;135;240;255;270;270;625;5;387.78;Poland
Dariusz Zolistki;M;Raw;46;45-49;Masters 40-49;91.3;100;0;0;0;0;0;0;0;0;170;185;192.5;192.5;192.5;2;123.58;Poland
Dariusz Zolistki;M;Raw;46;45-49;Masters 40-49;91.3;100;0;0;0;0;130;140;142.5;142.5;0;0;0;0;142.5;2;91.48;Poland
Krystian Rudnicki;M;Raw;36;35-39;Open;104.6;110;0;0;0;0;200;210;217.5;217.5;0;0;0;0;217.5;2;131.38;Poland
Kacper Grabowski;M;Raw;18;18-19;Teen 18-19;102.8;110;110;0;0;0;110;115;120;120;0;0;0;0;120;1;73.00;Poland
Marcin Kosut;M;Wraps;33;24-34;Open;90.8;100;260;270;-275;270;170;175;-180;175;260;270;-275;270;715;2;460.28;Poland
Filip Zak¹tek;M;Wraps;15;13-15;Teen 13-15;86.2;90;165;180;-190;180;100;110;115;115;200;-220;220;220;515;1;340.54;Czechia
Miros³aw Janeczek;M;Raw;28;24-34;Open;133;140;0;0;0;0;0;0;0;0;220;250;270;270;270;1;150.16;Poland
Karolina Watarczyk;F;Raw;22;20-23;Juniors 20-23;55.6;56;0;0;0;0;0;0;0;0;100;110;120;120;120;2;139.76;Poland
Jan Cenkiel;M;Raw;72;70-74;Masters 70+;98;100;0;0;0;0;140;-145;147.5;147.5;0;0;0;0;147.5;1;91.60;Poland
Tomasz Trziszki;M;Raw;38;35-39;Open;99.9;100;0;0;0;0;-205;210;-220;210;0;0;0;0;210;1;129.31;Poland
Tomasz Trziszki;M;Raw;38;35-39;MPF;99.9;100;0;0;0;0;-205;210;-220;210;0;0;0;0;210;1;129.31;Poland
Piotr Garbaczewski;M;Raw;23;20-23;Juniors 20-23;97.3;100;140;0;0;0;190;200;-205;200;0;0;0;0;200;1;124.60;Poland
Anna Kubaszewska;F;Raw;26;24-34;Paralympic;56;56;0;0;0;0;65;72.5;-77.5;72.5;0;0;0;0;72.5;1;84.04;Poland
Natalia Wencel;F;Raw;24;24-34;Open;55;56;0;0;0;0;60;-65;-65;60;0;0;0;0;60;1;70.39;Poland
Gracjan Nad¹³;M;Raw;28;24-34;Open;89.8;90;0;0;0;0;165;175;-182.5;175;0;0;0;0;175;9;113.28;Poland
Marek Szokalski;M;Wraps;32;24-34;Open;97.9;100;200;210;222.5;222.5;115;120;125;125;190;200;-210;200;547.5;7;340.15;Poland
Filip Dec;M;Wraps;27;24-34;Open;74.9;75;190;200;212.5;212.5;130;140;-142.5;140;235;247.5;-250;247.5;600;2;430.82;Poland
Norbert Trajer;M;Wraps;21;20-23;Juniors 20-23;96.6;100;200;215;225;225;-137.5;137.5;-142.5;137.5;200;212.5;-217.5;212.5;575;2;359.40;Poland
Kacper Cecko;M;Wraps;23;20-23;Juniors 20-23;87.8;90;120;-150;150;150;90;100;-110;100;180;200;210;210;460;4;301.23;Poland
Nikodem Labuda;M;Wraps;19;18-19;Teen 18-19;88.2;90;210;230;-240;230;120;125;130;130;-230;230;-250;230;590;1;385.45;Poland
Hubert Jaworski;M;Wraps;16;16-17;Teen 16-17;99.3;100;175;-180;180;180;120;-125;125;125;190;195;-205;195;500;1;308.70;Poland
Jakub Karolczyk;M;Wraps;15;13-15;Teen 13-15;73.7;75;-115;115;130;130;75;85;-87.5;85;-150;160;-170;160;375;1;272.09;Poland
Oktawia Lurka;F;Wraps;30;24-34;Open;83.3;90;150;165;182.5;182.5;110;115;-117.5;115;180;192.5;202.5;202.5;500;1;461.92;Poland
Angelika Gryc;F;Raw;16;16-17;Teen 16-17;77.1;82.5;0;0;0;0;0;0;0;0;150;157.5;162.5;162.5;162.5;1;156.01;Poland
Bart³omiej Szaflarski;M;Raw;30;24-34;Open;77.5;82.5;0;0;0;0;0;0;0;0;-220;230;-260;230;230;1;161.65;Poland
S³awomir Milewski;M;Raw;39;35-39;Open;123.6;125;0;0;0;0;0;0;0;0;200;230;-250;230;230;4;130.82;Poland
Krystyna Tomczyk;F;Raw;22;20-23;Juniors 20-23;93.2;90+;0;0;0;0;0;0;0;0;65;70;80;80;80;1;70.25;Czechia
Krystyna Tomczyk;F;Raw;22;20-23;Juniors 20-23;93.2;90+;1;0;0;0;30;-35;-35;30;0;0;0;0;30;1;26.34;Czechia
Micha³  Kopiec;M;Raw;46;45-49;Masters 40-49;90.1;100;135;0;0;0;165;175;-180;175;0;0;0;0;175;1;113.09;Poland
Andrii Kotovenko;M;Unlimited;38;35-39;MPF;95.5;100;0;0;0;0;220;250;-270;250;0;0;0;0;250;1;157.08;Ukraine
Andrii Kotovenko;M;Raw;38;35-39;MPF;95.5;100;0;0;0;0;170;-180;180;180;0;0;0;0;180;4;113.10;Ukraine
Andrii Kotovenko;M;Unlimited;38;35-39;Open;95.5;100;0;0;0;0;220;250;-270;250;0;0;0;0;250;1;157.08;Ukraine
Andrii Kotovenko;M;Raw;38;35-39;Open;95.5;100;0;0;0;0;170;-180;180;180;0;0;0;0;180;4;113.10;Ukraine
Oleh Boiko;M;Unlimited;34;24-34;Open;79.7;82.5;0;0;0;0;180;200;-210;200;0;0;0;0;200;1;138.22;Ukraine
Oleh Boiko;M;Raw;34;24-34;Open;79.7;82.5;0;0;0;0;150;160;165;165;0;0;0;0;165;4;114.03;Ukraine
Pawe³ Krzemilewski;M;Unlimited;29;24-34;Open;88.8;90;0;0;0;0;220;-230;-240;220;0;0;0;0;220;2;143.23;Poland
Henryk Œwie¿y;M;Raw;65;65-69;Masters 60-69;108.9;110;0;0;0;0;135;140;145;145;0;0;0;0;145;1;86.21;Poland
Brigitte Maczka;F;Raw;59;55-59;Masters 50-59;72.3;75;0;0;0;0;32.5;37.5;-40;37.5;0;0;0;0;37.5;1;37.25;Germany
Brigitte Maczka;F;Raw;59;55-59;MPF;72.3;75;0;0;0;0;0;0;0;0;90;100;0;100;100;1;99.33;Germany
Brigitte Maczka;F;Raw;59;55-59;Masters 50-59;72.3;75;0;0;0;0;0;0;0;0;90;100;0;100;100;1;99.33;Germany
Marek Lika;M;Wraps;26;24-34;Open;90;90;280;300;0;300;165;175;-180;175;290;-305;-305;290;765;1;494.65;Slovakia
Roman Wanot;M;Raw;72;70-74;Masters 70+;82.2;82.5;0;0;0;0;80;85;90;90;0;0;0;0;90;1;61.09;Poland
Krzysztof Cielak;M;Raw;37;35-39;Open;140;140;0;0;0;0;220;230;-240;230;0;0;0;0;230;1;126.04;Poland
Rafa³ Pa³ubicki;M;Unlimited;44;40-44;Masters 40-49;110;110;0;0;0;0;-320;320;350;350;0;0;0;0;350;1;207.29;Poland
Rafa³ Pa³ubicki;M;Raw;44;40-44;Masters 40-49;110;110;0;0;0;0;212.5;220;225;225;0;0;0;0;225;1;133.26;Poland
Rafa³ Pa³ubicki;M;Unlimited;44;40-44;Open;110;110;0;0;0;0;-320;320;350;350;0;0;0;0;350;1;207.29;Poland
Marcin Go³¹bieski;M;Raw;29;24-34;Open;107.9;110;0;0;0;0;220;227.5;232.5;232.5;0;0;0;0;232.5;1;138.72;Poland
Kamil Ba³dyga;M;Unlimited;33;24-34;MPF;111.5;125;0;0;0;0;260;282.5;302.5;302.5;0;0;0;0;302.5;1;178.26;Poland
Kamil Ba³dyga;M;Raw;33;24-34;Open;111.5;125;0;0;0;0;180;190;197.5;197.5;0;0;0;0;197.5;2;116.38;Poland
Kamil Ba³dyga;M;Raw;33;24-34;MPF;111.5;125;0;0;0;0;180;190;197.5;197.5;0;0;0;0;197.5;1;116.38;Poland
Kamil Ba³dyga;M;Unlimited;33;24-34;Open;111.5;125;0;0;0;0;260;282.5;302.5;302.5;0;0;0;0;302.5;1;178.26;Poland
Kamil Byszewski;M;Raw;34.5;24-34;Open;108.5;110;0;0;0;0;205;-215;215;215;0;0;0;0;215;3;128.00;Poland
Grzegorz Joka;M;Raw;34;24-34;Open;89.3;90;0;0;0;0;175;182.5;-190;182.5;0;0;0;0;182.5;5;118.47;Poland
Grzegorz Joka;M;Raw;34;24-34;MPF;89.3;90;0;0;0;0;175;182.5;-190;182.5;0;0;0;0;182.5;2;118.47;Poland
Andrzej Ko³odziejczyk;M;Wraps;30;24-34;Open;73.7;75;170;185;195;195;135;142.5;145;145;202.5;217.5;-220;217.5;557.5;4;404.50;Poland
Adam Kawka;M;Raw;23;20-23;Open;78;82.5;2360;0;0;0;160;165;167.5;167.5;0;0;0;0;167.5;2;117.26;Poland
Adam Kawka;M;Raw;23;20-23;MPF;78;82.5;2360;0;0;0;160;165;167.5;167.5;0;0;0;0;167.5;1;117.26;Poland
Pawe³ Pruszylski;M;Unlimited;32;24-34;Open;89;90;0;0;0;0;-180;185;-200;185;0;0;0;0;185;4;120.30;Poland
Marcin Gierczak;M;Raw;22;20-23;Juniors 20-23;122.9;125;0;0;0;0;0;0;0;0;330;340;350;350;350;1;199.44;Poland
Rados³aw Bober;M;Wraps;17;16-17;Teen 16-17;58;60;115;125;-130;125;75;85;-90;85;140;150;-152.5;150;360;1;312.58;Poland
Mariusz Brito;M;Single-ply;26;24-34;Open;84.4;90;0;0;0;0;0;0;0;0;287.5;302.5;-311;302.5;302.5;1;202.32;Poland
Oliver Kurek;M;Raw;21;20-23;Juniors 20-23;74.8;75;0;0;0;0;155;-160;160;160;0;0;0;0;160;1;114.98;Slovakia
Oliver Kurek;M;Wraps;21;20-23;Open;74.8;75;235;-245;-245;235;-150;160;-165;160;280;-300;-300;280;675;1;485.09;Slovakia
Kristijan Matkovia;M;Wraps;28;24-34;Open;108.7;110;285;300;;300;-190;195;-202.5;195;300;315;320;320;815;1;484.88;Croatia
Magdalena Szpila;F;Single-ply;19;18-19;Teen 18-19;50.9;52;0;0;0;0;0;0;0;0;120;125;130;130;130;1;160.85;Poland
Magdalena Szpila;F;Raw;19;18-19;Teen 18-19;50.9;52;0;0;0;0;0;0;0;0;120;125;130;130;130;1;160.85;Poland
Ela Karda;F;Raw;21;20-23;Juniors 20-23;58;60;0;0;0;0;0;0;0;0;120;130;140;140;140;1;158.59;Poland
Roman Raczykowski;M;Raw;60;60-64;Masters 60-69;99.5;100;10;0;0;0;130;135.5;-140;135.5;0;0;0;0;135.5;1;83.58;Poland
Marek Tokarski;M;Raw;40;40-44;MPF Masters 40-49;82.3;82.5;0;0;0;0;150;160;165.5;165.5;0;0;0;0;165.5;1;112.26;Poland
Marek Tokarski;M;Raw;40;40-44;Masters 40-49;82.3;82.5;0;0;0;0;150;160;165.5;165.5;0;0;0;0;165.5;1;112.26;Poland
Mariusz Rufkiewicz;M;Wraps;54;50-54;Masters 50-59;100;100;202.5;215;225;225;140;147.5;150;150;225;247.5;250;250;625;1;384.70;Poland
Mariusz Rufkiewicz;M;Raw;54;50-54;Masters 50-59;100;100;0;0;0;0;0;0;0;0;225;247.5;250;250;250;1;153.88;Poland
Mariusz Rufkiewicz;M;Wraps;54;50-54;Masters 50-59;100;100;202.5;215;225;225;0;0;0;0;0;0;0;0;225;1;138.49;Poland
Mariusz Rufkiewicz;M;Raw;54;50-54;Masters 50-59;100;100;0;0;0;0;0;0;150;150;0;0;0;0;150;1;92.33;Poland
Karol Frakrowiak;M;Wraps;28;24-34;Open;114.5;125;290;310;-320;310;0;0;0;0;0;0;0;0;310;1;180.93;Poland
Karol Frakrowiak;M;Raw;28;24-34;Open;114.5;125;0;0;0;0;0;0;0;0;280;292.5;-305;292.5;292.5;3;170.72;Poland
Karol Frakrowiak;M;Wraps;28;24-34;Open;114.5;125;290;310;-320;310;160;167.5;170;170;280;292.5;-305;292.5;772.5;2;450.87;Poland
Przemys³aw Kawczylski;M;Wraps;26;24-34;MPF;87.7;90;205;-220;-230;205;115;125;130;130;240;260;-270;260;595;2;389.87;Poland
Przemys³aw Kawczylski;M;Wraps;26;24-34;Open;87.7;90;205;-220;-230;205;115;125;130;130;240;260;-270;260;595;5;389.87;Poland
Przemys³aw Kawczylski;M;Raw;26;24-34;Open;87.7;90;0;0;0;0;0;0;0;0;240;260;-270;260;260;1;170.36;Poland
Przemys³aw Kawczylski;M;Wraps;26;24-34;Open;87.7;90;205;-220;-230;205;0;0;0;0;0;0;0;0;205;2;134.32;Poland
Bart³omiej Rogozilski;M;Raw;39;35-39;Paralympic;107.8;110;3170;0;0;0;170;177.5;180;180;0;0;0;0;180;1;107.43;Poland
Bart³omiej Rogozilski;M;Raw;39;35-39;MPF;107.8;110;3170;0;0;0;170;177.5;180;180;0;0;0;0;180;1;107.43;Poland
Arkadiusz Herodowicz;M;Raw;38;35-39;Open;116.6;125;0;0;0;0;230;240;-245;240;0;0;0;0;240;1;139.19;Poland
Grzegorz Drewniany;M;Wraps;43;40-44;Masters 40-49;98.8;100;210;-225;225;225;0;0;0;0;0;0;0;0;225;1;139.22;Poland
Grzegorz Drewniany;M;Raw;43;40-44;Masters 40-49;98.8;100;0;0;0;0;0;0;0;0;210;225;235;235;235;1;145.41;Poland
Mieczyslaw Maczka;M;Wraps;66;65-69;MPF;82.2;82.5;0;0;0;0;0;0;0;0;0;0;0;0;0;DQ;0;Germany
Mieczys³aw Maczka;M;Wraps;66;65-69;Masters 60-69;82.2;82.5;0;0;0;0;0;0;0;0;0;0;0;0;0;DQ;0;Germany
Mieczys³aw Maczka;M;Single-ply;66;65-69;Masters 60-69;82.2;82.5;125;145;-155;145;90;102.5;0;102.5;130;145;0;145;392.5;1;266.43;Germany
Mieczys³aw Maczka;M;Wraps;66;65-69;Masters 60-69;82.2;82.5;125;145;-155;145;90;102.5;0;102.5;130;145;0;145;392.5;1;266.43;Germany
Robert Nem;M;Raw;51;50-54;Open;123.1;125;0;0;0;0;0;0;0;0;280;300;315;315;315;1;179.40;Poland
Robert Nem;M;Raw;51;50-54;Masters 50-59;123.1;125;0;0;0;0;0;0;0;0;280;300;315;315;315;1;179.40;Poland
Wies³aw Wróbel;M;Raw;63;60-64;Masters 60-69;100;100;0;0;0;0;0;0;0;0;230;245;257.5;257.5;257.5;1;158.50;Poland
Adrian Andersson;M;Unlimited;30;24-34;Open;109.9;110;0;0;0;0;0;0;0;0;300;320;-330;320;320;1;189.59;Sweden
Adrian Andersson;M;Wraps;30;24-34;Open;109.9;110;260;280;-300;280;170;180;-190;180;-300;300;-315;300;760;2;450.28;Sweden
Marcus Rosmalm;M;Wraps;27;24-34;Open;89.2;90;255;265;-272.5;265;182.5;190;-195;190;275;-285;285;285;740;2;480.65;Sweden
Radek Filipi;M;Raw;37;35-39;Open;129.6;140;0;0;0;0;180;200;202.5;202.5;0;0;0;0;202.5;2;113.49;Czechia
Radek Filipi;M;Unlimited;37;35-39;Open;129.6;140;0;0;0;0;240;260;280;280;0;0;0;0;280;1;156.93;Czechia
Karol Kornel Repiska;M;Single-ply;56;55-59;Masters 50-59;124.5;125;0;0;0;0;0;0;0;0;220;230;-240;230;230;1;130.52;Slovakia
Józzef Bejgrowicz;M;Raw;68;65-69;Masters 60-69;82.1;82.5;0;0;0;0;0;0;0;0;220;-230;-230;220;220;1;149.44;Poland
Oldlaich Prochazka;M;Raw;50;50-54;Masters 50-59;101;110;0;0;0;0;-180;180;195;195;0;0;0;0;195;1;119.51;Czechia
Pawe³ Przybylowicz;M;Raw;31;24-34;Open;90;90;0;0;0;0;200;207.5;-212.5;207.5;0;0;0;0;207.5;1;134.17;Poland
Jakub Chmielecki;M;Wraps;18;18-19;Teen 18-19;73.2;75;180;190;-200;190;115;122.5;-130;122.5;-235;235;250;250;562.5;1;409.96;Poland
Tomasz Miloch;M;Single-ply;37;35-39;Open;79.3;82.5;0;0;0;0;0;0;0;0;250;265;-272.5;265;265;1;183.68;Poland
Dominika Dziura;F;Raw;31;24-34;Open;50;52;0;0;0;0;0;0;0;0;105;115;125;125;125;1;156.63;Poland
Dominika Dziura;F;Wraps;31;24-34;Open;50;52;100;-107.5;107.5;107.5;0;0;0;0;0;0;0;0;107.5;1;134.70;Poland
Tomasz Obcowski;M;Unlimited;42;40-44;Open;103.5;110;0;0;0;0;340;355;370;370;0;0;0;0;370;1;224.46;Poland
Tomasz Obcowski;M;Unlimited;42;40-44;Masters 40-49;103.5;110;0;0;0;0;340;355;370;370;0;0;0;0;370;1;224.46;Poland
Pawe³ Pracownik;M;Raw;47;45-49;Masters 40-49;73.8;75;0;0;0;0;0;0;0;0;250;262.5;267.5;267.5;267.5;1;193.92;Poland
Pawe³ Pracownik;M;Raw;47;45-49;Open;73.8;75;0;0;0;0;0;0;0;0;250;262.5;267.5;267.5;267.5;1;193.92;Poland
Piotr Kowalczyk;M;Raw;23;20-23;Juniors 20-23;82.5;82.5;0;0;0;0;0;0;150;150;0;0;0;0;150;1;101.61;Poland
Piotr Kowalczyk;M;Wraps;23;20-23;Juniors 20-23;82.5;82.5;0;0;250;250;0;0;0;0;0;0;0;0;250;1;169.35;Poland
Piotr Kowalczyk;M;Wraps;23;20-23;Juniors 20-23;82.5;82.5;-250;-250;250;250;140;150;-157.5;150;-220;220;225;225;625;1;423.37;Poland
Petr Pastala­k;M;Unlimited;31;24-34;Open;121.3;125;0;0;0;0;240;262.5;285;285;0;0;0;0;285;2;163.10;Czechia
Petr Pastalak;M;Wraps;31;24-34;Open;121.3;125;270;290;300;300;180;190;-192.5;190;272.5;285;-297.5;285;775;1;443.50;Czechia
Norbert Hajas;M;Raw;49;45-49;Open;66;67.5;4150;0;0;0;150;155;-162.5;155;0;0;0;0;155;1;121.45;Hungary
Tahvo Jauhojarvi;M;Raw;59;55-59;Masters 50-59;74.6;75;5325;0;0;0;125;132.5;140;140;0;0;0;0;140;1;100.78;Sweden
Tahvo Jauhojarvi;M;Multi-ply;59;55-59;Masters 50-59;74.6;75;59180;0;0;0;-180;180;190;190;0;0;0;0;190;1;136.78;Sweden
Peter Hallberg;M;Single-ply;33;24-34;Open;110;110;0;0;0;0;0;0;0;0;300;-315;-315;300;300;1;177.68;Sweden
Stefan Sochalski;M;Single-ply;72;70-74;MPF;87.4;90;0;0;0;0;0;0;0;0;180;195;205;205;205;1;134.57;Poland
Stefan Sochalski;M;Single-ply;72;70-74;Masters 70+;87.4;90;0;0;0;0;0;0;0;0;180;195;205;205;205;1;134.57;Poland
Stefan Sochalski;M;Raw;72;70-74;MPF;87.4;90;0;0;0;0;0;0;0;0;170;-190;0;170;170;2;111.59;Poland
Stefan Sochalski;M;Raw;72;70-74;Masters 70+;87.4;90;0;0;0;0;0;0;0;0;170;-190;0;170;170;1;111.59;Poland
Stefan Sochalski;M;Multi-ply;72;70-74;Masters 70+;87.4;90;0;0;0;0;85;95;102.5;102.5;0;0;0;0;102.5;1;67.28;Poland
Stefan Sochalski;M;Raw;72;70-74;MPF Masters 70+;87.4;90;0;0;0;0;77.5;82.5;0;82.5;0;0;0;0;82.5;1;54.15;Poland
Stefan Sochalski;M;Raw;72;70-74;Masters 70+;87.4;90;0;0;0;0;77.5;82.5;0;82.5;0;0;0;0;82.5;1;54.15;Poland
Stefan Sochalski;M;Multi-ply;72;70-74;MPF;87.4;90;0;0;0;0;85;95;102.5;102.5;0;0;0;0;102.5;1;67.28;Poland
Grzegorz Wa³ga;M;Multi-ply;33;24-34;Open;103.4;110;0;0;0;0;-340;340;-370;340;0;0;0;0;340;2;206.34;Poland
Grzegorz Wa³ga;M;Unlimited;33;24-34;Open;103.4;110;0;0;0;0;-320;-320;-325;0;0;0;0;0;0;DQ;0;Poland
Niclas Friberg;M;Single-ply;47;45-49;Open;96.1;100;0;0;0;0;0;0;0;0;250;-272.5;0;250;250;1;156.63;Sweden
Niclas Friberg;M;Single-ply;47;45-49;Masters 40-49;96.1;100;0;0;0;0;0;0;0;0;250;-272.5;0;250;250;1;156.63;Sweden
